bathrooms;bedrooms;accommodates;cleaning_fee;entire_home/apt;private_room;beds;guests_included;monthly_price;zipcode;security_deposit;longitude;latitude;host_since_in_days;weekly_price;availability_90;availability_60;host_total_listings_count;availability_365;availability_30;price
1.0;1.0;2.0;10.0;0.0;1.0;1.0;1.0;1300.0;28012.000000000004;100.0;-3.70658892921296;40.41538264741362;1058.0;550.0;88.0;58.0;1.0;363.0;28.0;90.0
1.0;1.0;3.0;37.00000000000001;1.0;0.0;1.0;1.0;1150.0;28004.000000000004;157.79999999999998;-3.7028565499364623;40.42025639873373;1613.0;535.0;49.00000000000001;27.0;10.0;291.0;10.0;80.00000000000001
1.0;1.0;2.0;17.0;0.0;1.0;1.0;1.0;510.00000000000006;28029.0;210.0;-3.690178586561625;40.46910690676356;1596.0;225.0;31.0;29.0;1.0;112.0;12.0;36.0
1.0;1.0;3.0;10.0;1.0;0.0;2.0;2.0;1974.0;28005.0;150.0;-3.710049498585271;40.40479531163243;782.0000000000001;278.4;7.0;5.0;1.0;212.00000000000003;3.0;60.0
2.0;1.0;6.0;21.000000000000004;0.0;1.0;6.0;1.0;1650.0000000000002;28012.000000000004;156.8;-3.699853543110171;40.40752448531772;1934.0;396.8;90.0;60.0;2.0;181.0;30.0;35.0
1.0;2.0;3.0;50.0;1.0;0.0;2.0;2.0;2006.0;28001.0;150.0;-3.686298970811813;40.429494023042125;1273.0;460.0;66.0;36.0;6.000000000000001;341.0;7.0;80.00000000000001
1.0;1.0;2.0;20.0;0.0;1.0;1.0;1.0;937.8;28045.0;230.0;-3.6949291439269945;40.40257725249224;1406.0;336.0;71.0;41.0;2.0;346.0;11.0;40.0
1.0;1.0;2.0;34.6;0.0;1.0;2.0;1.0;800.0;28015.0;120.0;-3.7124475968488864;40.4345720865884;609.0;250.00000000000003;53.99999999999999;36.0;1.0;329.0;6.0;40.0
1.0;3.0000000000000004;5.0;22.0;1.0;0.0;4.0;2.0;1190.1999999999998;28034.0;150.0;-3.6880760200134977;40.48466449806586;262.0;440.0;0.0;0.0;1.0;222.00000000000003;0.0;50.0
1.0;1.0;1.0;10.0;0.0;1.0;1.0;1.0;1173.0000000000002;28014.0;210.0;-3.6981598908752993;40.41349631745213;1066.0;385.8;60.00000000000001;30.0;1.0;61.0;7.0;32.0
1.0;1.0;1.0;8.0;0.0;1.0;1.0;1.0;295.0;28018.0;190.0;-3.6403422739965263;40.38608523234298;2076.0;135.0;6.0;0.0;1.0;281.0;0.0;21.0
1.0;2.0;4.0;20.0;1.0;0.0;3.0;1.0;632.0;28043.0;220.0;-3.6451517658352417;40.45846892674892;337.0;308.8;53.99999999999999;37.0;1.0;329.0;13.0;50.0
1.0;0.0;4.0;25.0;1.0;0.0;1.0;1.0;960.0;28013.0;90.0;-3.700693461890413;40.41738149610647;900.0000000000001;283.99999999999994;72.0;45.0;10.0;216.0;17.0;45.0
1.0;1.0;2.0;20.0;0.0;1.0;1.0;1.0;774.0;28012.000000000004;150.0;-3.701457309971553;40.410469609965816;987.0;255.0;75.0;45.0;1.0;350.0;15.0;40.0
1.0;1.0;2.0;80.0;1.0;0.0;1.0;2.0;1600.0;28004.000000000004;126.0;-3.703445795313088;40.427513858112135;2153.0;560.0;70.0;40.0;28.0;70.0;10.0;90.0
2.0;5.0;8.0;40.0;1.0;0.0;5.0;1.0;2095.0;28004.000000000004;120.0;-3.704198691465696;40.42437254540329;102.0;355.0;51.0;26.0;3.0000000000000004;326.0;15.0;110.0
1.0;0.0;4.0;46.0;1.0;0.0;2.0;3.0;976.0;28013.0;100.0;-3.707817732829578;40.416576100002295;646.0;301.20000000000005;20.0;12.0;24.000000000000004;230.0;5.0;79.0
1.0;1.0;2.0;20.0;1.0;0.0;1.0;1.0;1630.0;28005.0;260.0;-3.708728659195192;40.408045859905606;1398.0;316.00000000000006;38.0;13.0;9.0;38.0;4.0;45.0
1.0;2.0;4.0;40.0;1.0;0.0;2.0;1.0;1400.0;28014.0;150.0;-3.693303003076843;40.409979823088506;677.0;420.0;0.0;0.0;1.0;215.0;0.0;60.0
