Host Response Rate,Host Listings Count,Host Total Listings Count,Zipcode,Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Beds,Square Feet,Price,Weekly Price,Monthly Price,Security Deposit,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Availability 30,Availability 60,Availability 90,Availability 365,Number of Reviews,Review Scores Rating,Review Scores Accuracy,Review Scores Cleanliness,Review Scores Checkin,Review Scores Communication,Review Scores Location,Review Scores Value,Calculated host listings count,Reviews per Month,Host Since in Days,First Review in Days,Entire home/apt,Private room,Shared room
75.0,2.0,2.0,28034.0,40.48351301203376,-3.70675461777988,2.0,1.0,1.0,1.0,274.2,50.0,250.00000000000003,758.0000000000001,300.0,28.000000000000004,2.0,10.0,1.0,30.0,30.0,60.0,60.00000000000001,155.0,1.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,0.06,577.0,0.0,0.0,1.0,0.0
100.0,1.0,1.0,28010.0,40.435349670427456,-3.701446961251552,7.0,2.0,3.0000000000000004,5.0,480.20000000000005,100.0,459.20000000000005,1223.8000000000002,189.99999999999997,25.0,1.0,0.0,1.0,150.0,4.0,6.0,23.000000000000004,100.0,7.0,97.0,10.0,9.0,10.0,10.0,10.0,10.0,1.0,1.22,198.00000000000003,138.0,1.0,0.0,0.0
100.0,2.0,2.0,28006.0,40.426860659405534,-3.674630562753264,2.0,1.0,1.0,1.0,423.40000000000003,28.000000000000004,228.0,450.0,183.48397863818425,27.0,1.0,0.0,2.0,1125.0,1.0,1.0,1.0,32.0,0.0,91.75441354292623,9.8,10.0,10.0,8.0,9.550460941290636,9.2,1.0,2.072,1012.0,663.7999999999998,0.0,1.0,0.0
100.0,5.0,5.0,28004.000000000004,40.42203705579692,-3.705144979629012,4.0,1.0,1.0,1.0,699.8000000000001,60.0,549.4,1286.0000000000002,150.0,25.0,2.0,20.0,2.0,1125.0,3.0,9.0,20.0,289.0,16.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,5.000000000000001,5.71,563.0,81.0,1.0,0.0,0.0
50.0,1.0,1.0,28033.0,40.47934949932916,-3.663924259558876,4.0,1.5,2.0,2.0,570.3999999999999,65.00000000000001,448.6,1310.0,300.0,50.0,1.0,0.0,5.0,1125.0,1.0,1.0,24.0,114.99999999999999,3.0,93.0,9.0,9.0,10.0,10.0,9.0,9.0,1.0,0.31,1264.0,65.0,1.0,0.0,0.0
67.0,1.0,1.0,28004.000000000004,40.42218749269139,-3.702338427672928,4.0,1.0,1.0,2.0,667.5999999999999,150.0,613.0,1371.4,200.0,50.0,2.0,20.0,2.0,1125.0,22.0,52.0,82.0,357.0,6.0,100.0,10.0,9.0,10.0,10.0,10.0,10.0,1.0,0.5,1484.0000000000002,189.99999999999997,1.0,0.0,0.0
50.0,1.0,1.0,28005.0,40.41033937288797,-3.710624018306472,2.0,1.0,1.0,1.0,215.99999999999997,35.0,210.0,429.0,138.8,12.0,1.0,0.0,2.0,7.0,29.0,59.0,89.0,89.0,13.0,90.99999999999999,10.0,9.0,10.0,10.0,10.0,9.0,1.0,0.64,619.0,280.0,0.0,1.0,0.0
33.0,1.0,1.0,28012.000000000004,40.40820886678287,-3.70081781690612,1.0,1.0,0.0,1.0,732.0,50.0,250.00000000000003,600.0,183.48397863818425,69.99999999999999,1.0,0.0,2.0,1125.0,0.0,1.0,1.0,165.0,4.0,85.0,10.0,9.0,10.0,10.0,9.0,8.0,1.0,0.15,1294.0,545.0,1.0,0.0,0.0
100.0,2.0,2.0,28001.0,40.42652782167151,-3.6801006927877102,2.0,1.0,1.0,1.0,601.2,71.0,447.99999999999994,1597.3999999999999,249.99999999999997,19.2,1.0,0.0,2.0,30.0,0.0,21.0,51.0,51.0,30.999999999999996,90.0,9.0,8.0,10.0,10.0,10.0,9.0,1.0,1.71,789.0,453.0,1.0,0.0,0.0
94.65098420938784,1.0,1.0,28043.0,40.4625368144232,-3.6475146142789296,4.0,2.0,3.0000000000000004,3.0,1136.6000000000001,100.0,450.0,1600.0,183.48397863818425,36.00000000000001,1.0,0.0,1.0,1125.0,0.0,0.0,0.0,0.0,0.0,91.75441354292623,9.8,10.0,10.0,8.0,9.550460941290636,9.2,1.0,2.072,765.0,483.59999999999997,1.0,0.0,0.0
