Host Response Rate;Host Listings Count;Host Total Listings Count;Zipcode;Latitude;Longitude;Accommodates;Bathrooms;Bedrooms;Beds;Square Feet;Price;Weekly Price;Monthly Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Maximum Nights;Availability 30;Availability 60;Availability 90;Availability 365;Number of Reviews;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Calculated host listings count;Reviews per Month;Host Since in Days;First Review in Days;Entire home/apt;Private room;Shared room;Square Meters
94.0;1.0;1.0;28014.0;40.41349631745213;-3.6981598908752993;1;1.0;1.0;1.0;;32.0;;;;10.0;1;0;2;10;7;30;60;61;14;96.0;10.0;10.0;9.0;10.0;10.0;10.0;1.0;1.72;1066.0;238.0;0;1;0;
100.0;1.0;1.0;28018.0;40.38608523234298;-3.6403422739965263;1;1.0;1.0;1.0;;21.0;135.0;295.0;;8.0;1;0;3;1125;0;0;6;281;3;100.0;9.0;9.0;9.0;10.0;9.0;8.0;1.0;0.13;2076.0;372.0;0;1;0;
100.0;1.0;1.0;28043.0;40.45846892674892;-3.6451517658352417;4;1.0;2.0;3.0;;50.0;;;;20.0;1;7;2;1125;13;37;54;329;9;93.0;9.0;9.0;10.0;10.0;10.0;9.0;1.0;0.95;337.0;265.0;1;0;0;
99.0;10.0;10.0;28013.0;40.41738149610647;-3.700693461890413;4;1.0;0.0;1.0;;45.0;;;90.0;25.0;1;0;2;2;17;45;72;216;16;84.0;9.0;9.0;9.0;8.0;10.0;9.0;9.0;2.0;900.0;218.0;1;0;0;
100.0;1.0;1.0;28012.0;40.410469609965816;-3.701457309971553;2;1.0;1.0;1.0;;40.0;255.0;;150.0;20.0;1;0;3;7;15;45;75;350;60;91.0;9.0;10.0;10.0;10.0;9.0;9.0;1.0;2.02;987.0;746.0;0;1;0;
100.0;28.0;28.0;28004.0;40.427513858112135;-3.703445795313088;2;1.0;1.0;1.0;;90.0;560.0;1600.0;;80.0;2;0;5;330;10;40;70;70;8;80.0;9.0;10.0;9.0;9.0;10.0;8.0;28.0;0.15;2153.0;1380.0;1;0;0;
100.0;3.0;3.0;28004.0;40.42437254540329;-3.704198691465696;8;2.0;5.0;5.0;;110.0;;;;40.0;1;10;1;1125;15;26;51;326;11;82.0;8.0;9.0;9.0;9.0;10.0;8.0;2.0;5.24;102.0;56.0;1;0;0;
100.0;24.0;24.0;28013.0;40.416576100002295;-3.707817732829578;4;1.0;0.0;2.0;;79.0;;;100.0;;3;0;2;29;5;12;20;230;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;21.0;1.0;646.0;0.0;1;0;0;
98.0;9.0;9.0;28005.0;40.408045859905606;-3.708728659195192;2;1.0;1.0;1.0;;45.0;;;;20.0;1;0;1;1125;4;13;38;38;28;91.0;10.0;9.0;10.0;9.0;9.0;9.0;9.0;6.0;1398.0;124.0;1;0;0;
50.0;1.0;1.0;28014.0;40.409979823088506;-3.693303003076843;4;1.0;2.0;2.0;;60.0;420.0;1400.0;150.0;40.0;1;0;14;30;0;0;0;215;9;100.0;10.0;10.0;10.0;10.0;10.0;10.0;1.0;0.42;677.0;570.0;1;0;0;
